date,venue,team,win_odds,line_odds,home
22 Mar 18,MCG,Richmond,1.19,-30.5,1
22 Mar 18,MCG,Carlton,5.00,+30.5,0
23 Mar 18,Etihad Stadium,Essendon,1.83,-2.5,1
23 Mar 18,Etihad Stadium,Adelaide,2.02,+2.5,0
24 Mar 18,Etihad Stadium,St Kilda,1.33,-22.5,1
24 Mar 18,Etihad Stadium,Brisbane,3.45,+22.5,0
24 Mar 18,Adelaide Oval,Port Adelaide,1.18,-34.5,1
24 Mar 18,Adelaide Oval,Fremantle,5.25,+34.5,0
24 Mar 18,Cazaly's Stadium,Gold Coast,1.13,-24.5,1
24 Mar 18,Cazaly's Stadium,North Melbourne,6.00,+24.5,0
24 Mar 18,MCG,Hawthorn,1.10,-31.5,1
24 Mar 18,MCG,Collingwood,7.00,+31.5,0
25 Mar 18,Manuka Oval,GWS,1.33,-20.5,1
25 Mar 18,Manuka Oval,Western Bulldogs,3.45,+20.5,0
25 Mar 18,MCG,Melbourne,1.70,-6.5,1
25 Mar 18,MCG,Geelong,2.20,+6.5,0
25 Mar 18,Optus Stadium,West Coast,11.00,+37.5,1
25 Mar 18,Optus Stadium,Sydney,1.04,-37.5,0
29 Mar 18,Adelaide Oval,Adelaide,1.65,-7.5,1
29 Mar 18,Adelaide Oval,Richmond,2.20,+7.5,0
30 Mar 18,Etihad Stadium,North Melbourne,3.35,+19.5,1
30 Mar 18,Etihad Stadium,St Kilda,1.35,-19.5,0
31 Mar 18,Etihad Stadium,Carlton,1.58,-9.5,1
31 Mar 18,Etihad Stadium,Gold Coast,2.45,+9.5,0
31 Mar 18,MCG,Collingwood,2.95,+17.5,1
31 Mar 18,MCG,GWS,1.42,-17.5,0
31 Mar 18,Optus Stadium,Fremantle,1.95,+1.5,1
31 Mar 18,Optus Stadium,Essendon,1.85,-1.5,0
31 Mar 18,Gabba,Brisbane,21.00,+53.5,1
31 Mar 18,Gabba,Melbourne,1.01,-53.5,0
1 Apr 18,Etihad Stadium,Western Bulldogs,1.70,-7.5,1
1 Apr 18,Etihad Stadium,West Coast,2.20,+7.5,0
1 Apr 18,SCG,Sydney,1.42,-16.5,1
1 Apr 18,SCG,Port Adelaide,2.95,+16.5,0
2 Apr 18,MCG,Geelong,1.70,-5.5,1
2 Apr 18,MCG,Hawthorn,2.20,+5.5,0
6 Apr 18,MCG,Carlton,2.45,+10.5,1
6 Apr 18,MCG,Collingwood,1.58,-10.5,0
7 Apr 18,Adelaide Oval,Port Adelaide,1.03,-56.5,1
7 Apr 18,Adelaide Oval,Brisbane,13.00,+56.5,0
7 Apr 18,MCG,Melbourne,1.37,-20.5,1
7 Apr 18,MCG,North Melbourne,3.20,+20.5,0
