date,venue,round,round_label,season,home_team,home_score,home_margin,home_win_odds,home_win_paid,home_line_odds,home_line_paid,away_team,away_score,away_margin,away_win_odds,away_win_paid,away_line_odds,away_line_paid
2018-03-22,MCG,1.0,2018 Round 1,2018,Tigers,121,+26,1.19,1.19,-30.5,0.00,Blues,95,-26,5.00,0.00,+30.5,1.92
2018-03-23,Marvel,1.0,2018 Round 1,2018,Bombers,99,+12,1.83,1.83,-2.5,1.92,Crows,87,-12,2.02,0.00,+2.5,0.00
2018-03-24,Marvel,1.0,2018 Round 1,2018,Saints,107,+25,1.33,1.33,-22.5,1.92,Lions,82,-25,3.45,0.00,+22.5,0.00
2018-03-24,Adelaide,1.0,2018 Round 1,2018,Power,110,+50,1.18,1.18,-34.5,1.92,Dockers,60,-50,5.25,0.00,+34.5,0.00
2018-03-24,Cazaly's,1.0,2018 Round 1,2018,Suns,55,+16,1.13,1.13,-24.5,0.00,Kangaroos,39,-16,6.00,0.00,+24.5,1.90
2018-03-24,MCG,1.0,2018 Round 1,2018,Hawks,101,+34,1.10,1.10,-31.5,1.90,Magpies,67,-34,7.00,0.00,+31.5,0.00
2018-03-25,Canberra,1.0,2018 Round 1,2018,Giants,133,+82,1.33,1.33,-20.5,1.92,Bulldogs,51,-82,3.45,0.00,+20.5,0.00
2018-03-25,MCG,1.0,2018 Round 1,2018,Demons,94,-3,1.70,0.00,-6.5,0.00,Cats,97,+3,2.20,2.20,+6.5,1.92
2018-03-25,Perth,1.0,2018 Round 1,2018,Eagles,86,-29,11.00,0.00,+37.5,1.88,Swans,115,+29,1.04,1.04,-37.5,0.00
2018-03-29,Adelaide,2.0,2018 Round 2,2018,Crows,118,+36,1.65,1.65,-7.5,1.88,Tigers,82,-36,2.20,0.00,+7.5,0.00
2018-03-30,Marvel,2.0,2018 Round 2,2018,Kangaroos,95,+52,3.35,3.35,+19.5,1.92,Saints,43,-52,1.35,0.00,-19.5,0.00
